ranked_id	hap	fit	model	N_max	r/s
H000	0110011000	1.0	rmf	98	8.557551718005977
H001	1001010000	0.9141126914694762	rmf	98	8.557551718005977
H002	1010001000	0.9115076997962631	rmf	98	8.557551718005977
H003	1011010000	0.9024939522809006	rmf	98	8.557551718005977
H004	0110101100	0.880050116507144	rmf	98	8.557551718005977
H005	0001101100	0.8575777212233358	rmf	98	8.557551718005977
H006	1011001001	0.8398861039869319	rmf	98	8.557551718005977
H007	0010010100	0.8212240292815127	rmf	98	8.557551718005977
H008	0010011011	0.8181590300997509	rmf	98	8.557551718005977
H009	1110100111	0.8035480068937204	rmf	98	8.557551718005977
H010	0101100011	0.8022991068300844	rmf	98	8.557551718005977
H011	0111100001	0.8017403722548204	rmf	98	8.557551718005977
H012	0010111100	0.7985253350850731	rmf	98	8.557551718005977
H013	0001010000	0.7951646219762772	rmf	98	8.557551718005977
H014	0010100100	0.7922224330000259	rmf	98	8.557551718005977
H015	1010101000	0.7918862966085646	rmf	98	8.557551718005977
H016	1011111000	0.7889624019103453	rmf	98	8.557551718005977
H017	1101111111	0.7886695184230139	rmf	98	8.557551718005977
H018	1100001010	0.7881077229060084	rmf	98	8.557551718005977
H019	1110111111	0.78700298403319	rmf	98	8.557551718005977
H020	0001111111	0.7757806721722678	rmf	98	8.557551718005977
H021	1001010101	0.7742128260452992	rmf	98	8.557551718005977
H022	1000001001	0.7678588370573727	rmf	98	8.557551718005977
H023	0100111011	0.7678479393759604	rmf	98	8.557551718005977
H024	0110110000	0.7671953834746706	rmf	98	8.557551718005977
H025	1000110100	0.7654960319298231	rmf	98	8.557551718005977
H026	1001101000	0.7648521086867497	rmf	98	8.557551718005977
H027	0001010110	0.7641428306738729	rmf	98	8.557551718005977
H028	0011110111	0.7620020348389789	rmf	98	8.557551718005977
H029	0010011000	0.7618811727676287	rmf	98	8.557551718005977
H030	0111110111	0.7595243227487156	rmf	98	8.557551718005977
H031	0011111001	0.7554477256441006	rmf	98	8.557551718005977
H032	1101001001	0.7545112446509624	rmf	98	8.557551718005977
H033	0101101011	0.751328420205099	rmf	98	8.557551718005977
H034	1010111110	0.7504277356009286	rmf	98	8.557551718005977
H035	1010101101	0.7494426549066935	rmf	98	8.557551718005977
H036	0011000010	0.7482937563661315	rmf	98	8.557551718005977
H037	1000111111	0.7481538504735801	rmf	98	8.557551718005977
H038	0111001100	0.7469899201378233	rmf	98	8.557551718005977
H039	0000110110	0.7467254843607039	rmf	98	8.557551718005977
H040	1001011010	0.7446531442073763	rmf	98	8.557551718005977
H041	0101000011	0.7418411755827276	rmf	98	8.557551718005977
H042	0110011100	0.7416925789718739	rmf	98	8.557551718005977
H043	0101100110	0.739130563600413	rmf	98	8.557551718005977
H044	1001101100	0.7351616160285336	rmf	98	8.557551718005977
H045	0001111010	0.7341528830588485	rmf	98	8.557551718005977
H046	1001111100	0.733826259058471	rmf	98	8.557551718005977
H047	1010010100	0.7334583374429371	rmf	98	8.557551718005977
H048	0000101000	0.7333276696273181	rmf	98	8.557551718005977
H049	1110101111	0.7328026704735311	rmf	98	8.557551718005977
H050	0100000000	0.7316746553392728	rmf	98	8.557551718005977
H051	1010011011	0.7313575367757623	rmf	98	8.557551718005977
H052	1011111110	0.730619857758051	rmf	98	8.557551718005977
H053	0001100011	0.7298839322385515	rmf	98	8.557551718005977
H054	0000110001	0.7281997539403751	rmf	98	8.557551718005977
H055	1011101000	0.7278405410339567	rmf	98	8.557551718005977
H056	0110100100	0.7269653368073098	rmf	98	8.557551718005977
H057	0001100101	0.7248632690284286	rmf	98	8.557551718005977
H058	1101100000	0.7244931256297122	rmf	98	8.557551718005977
H059	1000000110	0.7243072522538107	rmf	98	8.557551718005977
H060	1110000001	0.7243013205632401	rmf	98	8.557551718005977
H061	1000110110	0.7232526491596061	rmf	98	8.557551718005977
H062	1110000101	0.720176495538613	rmf	98	8.557551718005977
H063	0011111101	0.7200811664679901	rmf	98	8.557551718005977
H064	1000011010	0.7181698271114684	rmf	98	8.557551718005977
H065	1110110101	0.7177698103046353	rmf	98	8.557551718005977
H066	0000101010	0.7171381764197233	rmf	98	8.557551718005977
H067	0001110110	0.7160831540583421	rmf	98	8.557551718005977
H068	0010011111	0.7157269979889987	rmf	98	8.557551718005977
H069	1000101110	0.7150919132668186	rmf	98	8.557551718005977
H070	1111111110	0.713628840832106	rmf	98	8.557551718005977
H071	1011000011	0.7108718246376307	rmf	98	8.557551718005977
H072	1010001101	0.7102755627474729	rmf	98	8.557551718005977
H073	1000000001	0.710223382937968	rmf	98	8.557551718005977
H074	0111000101	0.7089064806779156	rmf	98	8.557551718005977
H075	1001110100	0.7084167837658933	rmf	98	8.557551718005977
H076	1111101100	0.7083585043839725	rmf	98	8.557551718005977
H077	1111010101	0.7083177479147875	rmf	98	8.557551718005977
H078	1001101110	0.70831265760615	rmf	98	8.557551718005977
H079	1010100011	0.7066687092678856	rmf	98	8.557551718005977
H080	1100100010	0.7020418185329224	rmf	98	8.557551718005977
H081	0010111101	0.7017339371739779	rmf	98	8.557551718005977
H082	1101110010	0.7007265915475984	rmf	98	8.557551718005977
H083	0110001101	0.7001894333047846	rmf	98	8.557551718005977
H084	0100101110	0.6996842860482618	rmf	98	8.557551718005977
H085	0111111011	0.6987451154266746	rmf	98	8.557551718005977
H086	0111011101	0.6955796265902113	rmf	98	8.557551718005977
H087	1010000111	0.6932015419272519	rmf	98	8.557551718005977
H088	0110111011	0.6915226878875548	rmf	98	8.557551718005977
H089	1101100011	0.690117474696667	rmf	98	8.557551718005977
H090	1011101111	0.6894687945059182	rmf	98	8.557551718005977
H091	1001000100	0.6885949590849524	rmf	98	8.557551718005977
H092	0010010111	0.6883231483704443	rmf	98	8.557551718005977
H093	1110111010	0.6878813084576845	rmf	98	8.557551718005977
H094	0011011110	0.6876785292639965	rmf	98	8.557551718005977
H095	1110101100	0.687636019635899	rmf	98	8.557551718005977
H096	0001110010	0.6875878120746449	rmf	98	8.557551718005977
H097	0110110110	0.6873862942555469	rmf	98	8.557551718005977
H098	1111010011	0.6844289238105324	rmf	98	8.557551718005977
H099	1011001100	0.6839840654736171	rmf	98	8.557551718005977
H100	1010010001	0.681292260722124	rmf	98	8.557551718005977
H101	0101001101	0.6808053275700712	rmf	98	8.557551718005977
H102	0011011000	0.679978002901642	rmf	98	8.557551718005977
H103	0110110100	0.6798790490551105	rmf	98	8.557551718005977
H104	0100110011	0.6789585000358022	rmf	98	8.557551718005977
H105	0110001110	0.6787680340082387	rmf	98	8.557551718005977
H106	0111110100	0.6787245055450216	rmf	98	8.557551718005977
H107	0001010101	0.6785998635572925	rmf	98	8.557551718005977
