ranked_id	hap	fit	model
H000	10110000001101001101	1.0	nk
H001	10110000101101011100	0.9508609760105342	nk
H002	10011000001001011101	0.9384959759408664	nk
H003	00110000000111001100	0.9281609378130893	nk
H004	00111000100001001000	0.92205958575718	nk
H005	01110000100001001100	0.9145871074169666	nk
H006	10011000000101011101	0.9093666566383277	nk
H007	01010000101001011000	0.9052115121096059	nk
H008	11110001101001000101	0.9000894140063092	nk
H009	00010000000001010101	0.8964545539489012	nk
H010	11110000000001010100	0.8938457313194784	nk
H011	11110001001101011101	0.8907175605961049	nk
H012	00110000100001111001	0.8878753218884554	nk
H013	11110001101101001100	0.8847496625291174	nk
H014	11010001101001011100	0.8822718824923582	nk
H015	00011000100111011100	0.8799327331741769	nk
H016	10010000100100011100	0.877984433787863	nk
H017	00110001000001000001	0.8759176958225892	nk
H018	10110000000101101100	0.8733669864079827	nk
H019	01010000000001001100	0.8710921439779105	nk
H020	01110100000001001101	0.8687859501112606	nk
H021	01010000101001000001	0.8666632927416288	nk
H022	00110000010001011001	0.8650759023455319	nk
H023	00011100100001011101	0.8636904400419665	nk
H024	11110001000001010101	0.8621965290670977	nk
H025	00111000000000001000	0.8603956764061611	nk
H026	11110000001100001101	0.858571563760186	nk
H027	01010000001101000001	0.8570204414874131	nk
H028	01010001001101010000	0.8552457349218905	nk
H029	11010000101011000100	0.8536891584927833	nk
H030	00110000010001001100	0.8521481518578427	nk
H031	00010001101001001100	0.850807358829833	nk
H032	00011001000001001101	0.8496472090175615	nk
H033	00111000101011001100	0.8484649118630533	nk
H034	00011001100101001000	0.8472762598653074	nk
H035	00011000100111001101	0.8461861552185627	nk
H036	00110001000001111000	0.8450346418023308	nk
H037	00111001000011001001	0.8437478098201113	nk
H038	10110001101001010100	0.842420713687127	nk
H039	00110000000011101101	0.8411999773367355	nk
H040	10110010001000001101	0.839988196348413	nk
H041	10110000101001100101	0.8387132075562422	nk
H042	00010010001101011001	0.8377034768670695	nk
H043	11110001001100001100	0.8365331380920745	nk
H044	01111000101101001100	0.8353673519455235	nk
H045	00110001101011011001	0.8344696823271027	nk
H046	01110000100101101100	0.8336313609141509	nk
H047	11110000100101100101	0.8327520459909892	nk
H048	10011001001001010101	0.8318721977004621	nk
H049	01110000000101110100	0.8309255353000192	nk
H050	00010000111101011000	0.8299505592259154	nk
H051	00010000000000001101	0.8288440764979899	nk
H052	00110100100101011101	0.8278519174536392	nk
H053	10110011101101001101	0.8268844785407959	nk
H054	11010101101001010101	0.8260734997186203	nk
H055	00010001100010011000	0.8252238224793816	nk
H056	01110101000001001101	0.8242217682382228	nk
H057	00010001001101010101	0.8233942229769899	nk
H058	11011000001111010101	0.8223247872065483	nk
H059	00011001000111011101	0.8215369701563887	nk
H060	00010100001001001001	0.8207407777005581	nk
H061	11110001000111001101	0.8200562650795444	nk
H062	00111000110101001101	0.8193127068763463	nk
H063	01110000101001110001	0.8186712500764985	nk
H064	01111000101101010100	0.8180230449238223	nk
H065	10110100000001111110	0.8172246376948313	nk
H066	00110001001101101100	0.8165257218364247	nk
H067	10010001100101000101	0.8157563088646465	nk
H068	00010010000101001101	0.8150434440725922	nk
H069	00010000100111000001	0.8143231971769647	nk
H070	00111000101101111000	0.8135357658913388	nk
H071	00011001001111011001	0.8128226708027839	nk
H072	00110001001000011001	0.812113477156734	nk
H073	01011100100001011000	0.8114459205849799	nk
H074	11010000001010010100	0.8107491494590342	nk
H075	00111000000111101101	0.8100880341421517	nk
H076	00111000000101110001	0.8093422637340753	nk
H077	10111001000111011101	0.8086749694103371	nk
H078	11010001001000011100	0.8079575413105275	nk
H079	01010000000100001000	0.807321833264482	nk
H080	11110000101001000001	0.8066914762689346	nk
H081	00110001100110001100	0.806103268687869	nk
H082	00010100101101011100	0.805548571658589	nk
H083	00110100001001111110	0.8049475549963113	nk
H084	00110000101100010000	0.804321821542765	nk
H085	01010001101100010000	0.8038500644144962	nk
H086	01110100100001100110	0.8033158311017766	nk
H087	00110100000111001101	0.8027749067301905	nk
H088	00011000000011010101	0.8022250715790572	nk
H089	00011000001111001001	0.8016823977476496	nk
H090	11010000101001111101	0.8010679524080125	nk
H091	01110100001001110011	0.8005694298151593	nk
H092	01011100000001011000	0.7999865852477619	nk
H093	10111000101000000100	0.7993396404852287	nk
H094	01110000001001110100	0.7987964180351397	nk
H095	10111101101001011100	0.7981972644429739	nk
H096	10110001001101100100	0.7976890115531201	nk
H097	01110000000111101001	0.7971519778983015	nk
H098	10110010101101000100	0.7964740844258105	nk
H099	10110001001100010100	0.796020673333087	nk
H100	01111000100001100001	0.7955157170669546	nk
H101	10111100101101011100	0.7949187634575811	nk
H102	10111000000111101100	0.7944247294663275	nk
H103	00010010100000010000	0.7938426597507334	nk
H104	01110000001110000000	0.7933700712047013	nk
H105	01010000001100010101	0.7928308209171179	nk
H106	11110000000101000001	0.7922006383739651	nk
H107	00110000001011111100	0.7916740270011517	nk
H108	10011010001100011100	0.7911955117462356	nk
H109	01110100100101001000	0.7906580172727848	nk
H110	00010001001001000101	0.7902034067459051	nk
H111	00111001101101000100	0.7896714473697206	nk
H112	01010000111001010000	0.7892426365128317	nk
H113	11010000100110011100	0.788837909554176	nk
H114	10110100101010001100	0.7884066010461567	nk
H115	00010000100110010100	0.7879465582397844	nk
H116	10010000000111000101	0.787560100308208	nk
H117	11111000101101111101	0.7871474241031843	nk
H118	10010100101101010100	0.7867118613752845	nk
H119	00111001000111010001	0.7862492573545986	nk
H120	00000000000101011101	0.7858523628868845	nk
H121	00010001001000011101	0.7853415935911576	nk
H122	10111101101101001101	0.7848551241664394	nk
H123	10110100101001110111	0.7843873429260938	nk
H124	00110100000011011011	0.783982046797102	nk
H125	00100000110101001101	0.7835116448200631	nk
H126	00011001001000011000	0.7830898714327931	nk
H127	00110000000000111101	0.7826197277975578	nk
H128	01011001000111011001	0.782207430320059	nk
H129	10110100101111011100	0.7818333610710991	nk
H130	00010010101001001100	0.781458682524274	nk
H131	00000000110001011101	0.7810338647833043	nk
H132	11110100001011101110	0.7806094798079256	nk
H133	01111000100101101000	0.780175965589763	nk
H134	00000001110101011001	0.7797595320031617	nk
H135	11011010101001010101	0.7793558353744247	nk
H136	00111100101001111010	0.7789789801394267	nk
H137	00111000000000010001	0.778554883652719	nk
H138	10111100000011011101	0.7780680488664392	nk
H139	00110000011111001100	0.7776381730949005	nk
H140	00010001001001000100	0.7772884271252483	nk
H141	01011001100011010100	0.7768654494930728	nk
H142	01010001010001010001	0.7764467321051088	nk
H143	01110100001001000111	0.7760662592103704	nk
H144	00110101001011001101	0.7757407745337069	nk
H145	01010000110111010000	0.7753579241136426	nk
H146	11110100000000001100	0.7749804141626341	nk
H147	00110000101011111101	0.77466329978605	nk
H148	01010001000100011101	0.7743380162864186	nk
H149	11110010100001011101	0.7739681154144314	nk
H150	11110010101111000100	0.7736284124990278	nk
