ranked_id	hap	fit	model
H000	1110000111	1.0	NK
H001	1011100101	0.9005401209709801	NK
H002	1110000101	0.8934685358481633	NK
H003	1010100111	0.8778947798797252	NK
H004	1001100001	0.8759563619965486	NK
H005	1110000011	0.8749118301995256	NK
H006	1001100101	0.8623814196954329	NK
H007	1100000011	0.8584927455483894	NK
H008	1011100111	0.8551648386272657	NK
H009	1000100011	0.8533110209052942	NK
H010	0110000110	0.8476013447315554	NK
H011	0110000111	0.8463584887679846	NK
H012	1100000111	0.8449178032472737	NK
H013	1000100111	0.8397360786041785	NK
H014	1110001111	0.8384847158652895	NK
H015	1110011111	0.8361046415848395	NK
H016	1110010111	0.8334280420000902	NK
H017	1001100011	0.8305810796528341	NK
H018	1110000110	0.8278937549323241	NK
H019	1001100111	0.8170061373517185	NK
H020	1010000111	0.782758136956064	NK
H021	1011100001	0.7754519511705054	NK
H022	1010100101	0.7713633157278885	NK
H023	1110000001	0.7683803660476888	NK
H024	0001100000	0.7596639657958367	NK
H025	0110000010	0.7586194339988135	NK
H026	0001100001	0.758421109832266	NK
H027	1000000011	0.7581743779816325	NK
H028	0110000011	0.7573765780352426	NK
H029	1010100011	0.7528066100792508	NK
H030	1100000001	0.7519612813965529	NK
H031	1111000101	0.7519477309841879	NK
H032	0011100100	0.7481414657025351	NK
H033	1111100101	0.7471738262515284	NK
H034	0011100101	0.7468986097389644	NK
H035	1000100001	0.7467795567534575	NK
H036	1000000111	0.7445994356805168	NK
H037	0100000010	0.7422003493476776	NK
H038	0110000100	0.7410698805797187	NK
H039	0100000011	0.7409574933841068	NK
H040	0110000101	0.7398270246161478	NK
H041	1011101101	0.7390248368362693	NK
H042	1100000101	0.738386339095437	NK
H043	0000100010	0.7370186247045825	NK
H044	0000100011	0.7357757687410116	NK
H045	1000100101	0.7332046144523419	NK
H046	1110001101	0.7319532517134527	NK
H047	1011100011	0.7300766688267909	NK
H048	1110011101	0.7295731774330029	NK
H049	1011100100	0.7284338759033039	NK
H050	1110010101	0.7268965778482536	NK
H051	0010100110	0.7254961246112805	NK
H052	1110100111	0.724528485160274	NK
H053	0010100111	0.7242532686477098	NK
H054	1110000100	0.7213622907804873	NK
H055	1010101111	0.7163794957450147	NK
H056	1001101001	0.714441077861838	NK
H057	0001100010	0.7142886834521224	NK
H058	1010111111	0.7139994214645649	NK
H059	1110001011	0.7133965460648147	NK
H060	0001100011	0.7130458274885515	NK
H061	1010110111	0.7113228218798155	NK
H062	1011111101	0.7110805498273426	NK
H063	1110011011	0.7110164717843648	NK
H064	0001100100	0.709982764426988	NK
H065	0001100101	0.7087399084634172	NK
H066	1011110101	0.7084039502425933	NK
H067	1110010011	0.7083398721996155	NK
H068	1111000111	0.7065724486404734	NK
H069	1010100110	0.7057885348120493	NK
H070	1001100000	0.7038501169288726	NK
H071	1110000010	0.7028055851318493	NK
H072	0011100110	0.7027661833588208	NK
H073	1111100111	0.7017985439078139	NK
H074	0011100111	0.7015233273952499	NK
H075	1001101101	0.7008661355607221	NK
H076	1100001011	0.6969774614136789	NK
H077	1100011011	0.6945973871332289	NK
H078	1011101111	0.693649554492555	NK
H079	0100000110	0.6925191479788291	NK
H080	1100010011	0.6919207875484796	NK
H081	1000101011	0.6917957367705837	NK
H082	0100000111	0.6912762920152583	NK
H083	1001100100	0.6902751746277567	NK
H084	1000111011	0.6894156624901338	NK
H085	0000100110	0.6873374233357337	NK
H086	1000110011	0.6867390629053844	NK
H087	1001111001	0.6864967908529113	NK
H088	1100000010	0.6863865004807135	NK
H089	0000100111	0.6860945673721629	NK
H090	0110001110	0.6860860605968448	NK
H091	0110001111	0.684843204633274	NK
H092	1001110001	0.683820191268162	NK
H093	0110011110	0.6837059863163949	NK
H094	1100001111	0.6834025191125632	NK
H095	1011100110	0.6830585935595894	NK
H096	0110011111	0.6824631303528241	NK
H097	1000100010	0.6812047758376183	NK
H098	0110010110	0.6810293867316456	NK
H099	1100011111	0.6810224448321134	NK
H100	0110010111	0.6797865307680748	NK
H101	1100010111	0.6783458452473637	NK
H102	1000101111	0.6782207944694678	NK
H103	1010000101	0.6762266728042272	NK
H104	1000111111	0.6758407201890179	NK
H105	1000110111	0.6731641206042686	NK
H106	1001111101	0.6729218485517956	NK
H107	1100000110	0.6728115581795976	NK
H108	1001110101	0.6702452489670463	NK
H109	1001101011	0.6690657955181236	NK
H110	1000100110	0.6676298335365024	NK
H111	1110001110	0.6663784707976135	NK
H112	1011111111	0.6657052674836281	NK
H113	0001100110	0.6646074820832736	NK
H114	1110011110	0.6639983965171636	NK
H115	0001100111	0.6633646261197027	NK
H116	1011110111	0.6630286678988788	NK
H117	1110010110	0.661321796932414	NK
H118	0011100000	0.6591595549697935	NK
H119	1001100010	0.6584748345851581	NK
H120	0011100001	0.6579166990062227	NK
H121	1010000011	0.6576699671555892	NK
H122	1001101111	0.6554908532170076	NK
H123	0110000000	0.652087969846977	NK
H124	1000000001	0.651642913829796	NK
H125	0110000001	0.6508451138834059	NK
H126	1010100001	0.6462751459274141	NK
H127	1001100110	0.6448998922840422	NK
H128	0000000010	0.6418819817809206	NK
H129	1001111011	0.6411215085091971	NK
H130	0000000011	0.6406391258173498	NK
H131	1001110011	0.6384449089244478	NK
H132	1000000101	0.6380679715286801	NK
H133	0010100010	0.6365142138785387	NK
H134	0100000000	0.6356688851958409	NK
H135	0010100011	0.6352713579149679	NK
H136	0100000001	0.6344260292322701	NK
H137	0000100000	0.6304871605527457	NK
H138	0010000110	0.630359481687619	NK
H139	0000100001	0.6292443045891749	NK
H140	0010000111	0.6291166257240483	NK
H141	1001111111	0.6275465662080815	NK
H142	1111000001	0.6268595611837131	NK
H143	1001110111	0.6248699666233319	NK
H144	1111100001	0.6220856564510536	NK
H145	1010001111	0.6212428528213534	NK
H146	0010100100	0.6189646604594439	NK
H147	1010011111	0.6188627785409035	NK
H148	1110100101	0.6179970210084373	NK
H149	0010100101	0.6177218044958731	NK
H150	1010010111	0.6161861789561542	NK
H151	1011101001	0.6139366670357947	NK
H152	0011100010	0.6137842726260792	NK
H153	0011100011	0.6125414166625083	NK
H154	1010000110	0.610651891888388	NK
H155	1101000001	0.6104404765325775	NK
H156	1010101101	0.609848031593178	NK
H157	1010111101	0.6074679573127281	NK
H158	1110001001	0.6068650819129783	NK
H159	1101100001	0.605666571799918	NK
H160	1010110101	0.6047913577279788	NK
H161	1110011001	0.6044850076325283	NK
H162	1011100000	0.6033457061028293	NK
H163	1110010001	0.6018084080477788	NK
H164	0111000100	0.5995490757157432	NK
H165	1110100011	0.5994403153597994	NK
H166	1010100100	0.5992570706602126	NK
H167	0111000101	0.5983062197521725	NK
H168	0001101000	0.5981486816611262	NK
H169	0110001010	0.5971041498641029	NK
H170	0001101001	0.5969058256975555	NK
H171	1101000101	0.5968655342314616	NK
H172	1000001011	0.5966590938469218	NK
H173	1110000000	0.5962741209800125	NK
H174	0110001011	0.5958612939005321	NK
H175	0111100100	0.5947751709830837	NK
H176	0110011010	0.594724075583653	NK
H177	1000011011	0.594279019566472	NK
H178	0111100101	0.5935323150195129	NK
H179	0110011011	0.5934812196200823	NK
H180	0000000110	0.5922007804120721	NK
H181	1101100101	0.5920916294988021	NK
H182	0110010010	0.5920474759989037	NK
H183	1000010011	0.5916024199817227	NK
H184	1010101011	0.5912913259445399	NK
H185	0000000111	0.5909579244485013	NK
H186	0110010011	0.590804620035333	NK
H187	1100001001	0.5904459972618421	NK
H188	1111001101	0.5904324468494774	NK
H189	1010111011	0.5889112516640901	NK
H190	1100011001	0.5880659229813923	NK
H191	0011101100	0.5866261815678246	NK
H192	1010110011	0.5862346520793408	NK
H193	1000000010	0.5860681329139564	NK
H194	1011111001	0.585992380026868	NK
H195	0100000100	0.5859876838269924	NK
H196	1111101101	0.5856585421168176	NK
H197	1100010001	0.585389323396643	NK
H198	0011101101	0.5853833256042538	NK
H199	1000101001	0.5852642726187469	NK
H200	0100000101	0.5847448278634216	NK
H201	1011110001	0.5833157804421185	NK
H202	1000001111	0.5830841515458063	NK
H203	1100100011	0.5830212307086634	NK
H204	1000111001	0.5828841983382971	NK
H205	1111000011	0.5814842788399988	NK
H206	0000100100	0.580805959183897	NK
H207	1000011111	0.5807040772653563	NK
H208	1010100010	0.5807003650115745	NK
H209	0100001010	0.580685065212967	NK
H210	1000110001	0.5802075987535478	NK
H211	1100000000	0.5798550363288767	NK
H212	1111000100	0.579841485916512	NK
H213	0000100101	0.5795631032203261	NK
H214	0110001100	0.5795545964450081	NK
H215	0100001011	0.5794422092493963	NK
H216	0110001101	0.5783117404814373	NK
H217	0100011010	0.5783049909325172	NK
H218	1000010111	0.5780274776806068	NK
H219	0110011100	0.5771745221645582	NK
H220	0100011011	0.5770621349689463	NK
H221	1100001101	0.5768710549607265	NK
H222	1111100011	0.5767103741073392	NK
H223	0110011101	0.5759316662009873	NK
H224	0100010010	0.5756283913477679	NK
H225	0000101010	0.5755033405698716	NK
H226	1111100100	0.5750675811838522	NK
H227	1000100000	0.5746733116857815	NK
H228	0110010100	0.5744979225798089	NK
H229	1100011101	0.5744909806802766	NK
H230	0100010011	0.5743855353841971	NK
H231	0000101011	0.5742604846063009	NK
H232	0110010101	0.573255066616238	NK
H233	0000111010	0.5731232662894218	NK
H234	1000000110	0.5724931906128405	NK
H235	0110100110	0.5721298298918291	NK
H236	0000111011	0.5718804103258509	NK
H237	1100010101	0.5718143810955273	NK
H238	1000101101	0.5716893303176314	NK
H239	0110100111	0.5708869739282584	NK
H240	0000110010	0.5704466667046725	NK
H241	0001111000	0.5702043946521995	NK
H242	1100100111	0.5694462884075475	NK
H243	1000111101	0.5693092560371814	NK
H244	0000110011	0.5692038107411016	NK
H245	0001111001	0.5689615386886286	NK
H246	1011101011	0.5685613846920804	NK
H247	0001110000	0.5675277950674502	NK
H248	1011101100	0.566918591768593	NK
H249	1000110101	0.5666326564524319	NK
H250	0001110001	0.5662849391038793	NK
H251	1100000100	0.5662800940277611	NK
H252	1101000011	0.5650651941888631	NK
H253	0010101110	0.56398084047657	NK
H254	1110101111	0.5630132010255633	NK
H255	0010101111	0.5627379845129993	NK
H256	1111011101	0.5624881598405503	NK
H257	0010111110	0.5616007661961202	NK
H258	1000100100	0.5610983693846656	NK
H259	1110111111	0.5606331267451133	NK
H260	0010111111	0.5603579102325493	NK
H261	1101100011	0.5602912894562037	NK
H262	1110001100	0.5598470066457768	NK
H263	1111010101	0.559811560255801	NK
H264	0010110110	0.5589241666113709	NK
H265	0011111100	0.5586818945588976	NK
H266	1011100010	0.557970423759115	NK
H267	1110110111	0.557956527160364	NK
H268	1111111101	0.5577142551078911	NK
H269	0010110111	0.5576813106478	NK
H270	1110011100	0.5574669323653269	NK
H271	0011111101	0.5574390385953268	NK
H272	0011110100	0.5560052949741483	NK
H273	1111110101	0.5550376555231418	NK
H274	1110010100	0.5547903327805775	NK
H275	0011110101	0.5547624390105775	NK
H276	0111000110	0.5541737933720291	NK
H277	0111000111	0.5529309374084582	NK
H278	0001101010	0.5527733993174118	NK
H279	1110100110	0.5524222400925979	NK
H280	0001101011	0.551530543353841	NK
H281	1101000111	0.5514902518877473	NK
H282	1010000001	0.5511385030037528	NK
H283	0111100110	0.5493998886393693	NK
H284	0001101100	0.5484674802922774	NK
H285	0111100111	0.5481570326757985	NK
H286	0001101101	0.5472246243287063	NK
H287	1101100111	0.5467163471550877	NK
H288	1111001111	0.5450571645057629	NK
H289	1010101110	0.5442732506773388	NK
H290	1001101000	0.5423348327941621	NK
H291	1010111110	0.5418931763968888	NK
H292	0010000010	0.5413775709548772	NK
H293	1110001010	0.5412903009971387	NK
H294	0011101110	0.5412508992241102	NK
H295	1011111011	0.5406170976831537	NK
H296	1111101111	0.5402832597731031	NK
H297	0010000011	0.5401347149913064	NK
H298	0011101111	0.5400080432605394	NK
H299	1010110110	0.5392165768121393	NK
H300	1011111100	0.5389743047596666	NK
H301	1110011010	0.5389102267166889	NK
H302	1011110011	0.537940498098404	NK
H303	1011110100	0.5362977051749173	NK
H304	1110010010	0.5362336271319396	NK
H305	0000000000	0.5353505176290839	NK
H306	1011000101	0.5347058679402515	NK
H307	1111000110	0.5344662035727975	NK
H308	0000000001	0.5341076616655132	NK
H309	0100001110	0.5310038638441186	NK
H310	0010100000	0.5299827497267022	NK
H311	0100001111	0.5297610078805475	NK
H312	1111100110	0.5296922988401377	NK
H313	1001101100	0.5287598904930462	NK
H314	0010100001	0.5287398937631312	NK
H315	0100011110	0.5286237895636686	NK
H316	0100011111	0.5273809336000976	NK
H317	0100010110	0.5259471899789191	NK
H318	0000101110	0.5258221392010232	NK
H319	1100001010	0.5248712163460029	NK
H320	0001111010	0.5248291123084853	NK
H321	0100010111	0.5247043340153483	NK
H322	0000101111	0.5245792832374521	NK
H323	0010000100	0.5238280175357823	NK
H324	0001111011	0.5235862563449145	NK
H325	0000111110	0.5234420649205732	NK
H326	0010000101	0.5225851615722115	NK
H327	1100011010	0.522491142065553	NK
H328	0000111111	0.5221992089570022	NK
H329	0001110010	0.522152512723736	NK
H330	1011101110	0.5215433094248789	NK
H331	0001110011	0.5209096567601652	NK
H332	0000110110	0.5207654653358237	NK
H333	0001111100	0.520523193283351	NK
H334	1100010010	0.5198145424808037	NK
H335	1000101010	0.5196894917029077	NK
H336	0000110111	0.5195226093722529	NK
H337	0001111101	0.5192803373197802	NK
H338	0001110100	0.5178465936986014	NK
H339	1000111010	0.5173094174224578	NK
H340	1111011111	0.5171128774968359	NK
H341	0001110101	0.5166037377350307	NK
H342	1010001101	0.5147113886695167	NK
H343	1000110010	0.5146328178377083	NK
H344	1111010111	0.5144362779120866	NK
H345	1001111000	0.5143905457852354	NK
H346	0011111110	0.5133066122151833	NK
H347	1111111111	0.512338972764177	NK
H348	1010011101	0.5123313143890668	NK
H349	0011111111	0.5120637562516124	NK
H350	1001110000	0.511713946200486	NK
H351	1100001110	0.511296274044887	NK
H352	0011110110	0.510630012630434	NK
H353	0111000000	0.5105671649830014	NK
H354	1001000001	0.5101221089658203	NK
H355	1111110111	0.5096623731794274	NK
H356	1010010101	0.5096547148043175	NK
H357	0011110111	0.5093871566668631	NK
H358	0111000001	0.5093243090194305	NK
H359	1100011110	0.5089161997644371	NK
H360	1100010110	0.5062396001796878	NK
H361	1000101110	0.5061145494017918	NK
H362	0111100000	0.5057932602503419	NK
H363	0111100001	0.504550404286771	NK
H364	1010000100	0.5041204277365513	NK
H365	1000111110	0.503734475121342	NK
H366	0001101110	0.503092197948563	NK
H367	0001101111	0.501849341984992	NK
H368	1000110110	0.5010578755365926	NK
H369	1001111100	0.5008156034841195	NK
H370	1001110100	0.4981390038993701	NK
H371	0011101000	0.497644270835083	NK
H372	1001101010	0.4969595504504476	NK
H373	1001000101	0.49654716666470466	NK
H374	0011101001	0.4964014148715122	NK
H375	1010001011	0.4961546830208787	NK
H376	0101000000	0.49414808033186575	NK
H377	1010011011	0.4937746087404288	NK
H378	1011111110	0.49359902241595216	NK
H379	1110100001	0.4929088512079626	NK
H380	0101000001	0.4929052243682949	NK
H381	1010010011	0.49109800915567925	NK
H382	1011110110	0.49092242283120285	NK
H383	0110001000	0.4905726857122662	NK
H384	1000001001	0.49012762969508517	NK
H385	0101100000	0.489374175599206	NK
H386	1011000111	0.48933058559653714	NK
H387	0110001001	0.4893298297486954	NK
H388	0110011000	0.4881926114318163	NK
H389	0101100001	0.48813131963563516	NK
H390	1000011001	0.48774755541463527	NK
H391	0110011001	0.4869497554682455	NK
H392	0000000100	0.4856693162602354	NK
H393	1010000010	0.48556372208791326	NK
H394	0110010000	0.485516011847067	NK
H395	1000010001	0.48507095582988596	NK
H396	1010101001	0.48475986179270353	NK
H397	0000000101	0.4844264602966646	NK
H398	0110010001	0.48427315588349623	NK
H399	1001101110	0.4833846081493317	NK
H400	0110100010	0.4831479191590875	NK
H401	1010111001	0.48237978751225363	NK
H402	0110100011	0.48190506319551674	NK
H403	0000001010	0.4803666976462101	NK
H404	1010110001	0.47970318792750405	NK
H405	1000000000	0.47953666876211976	NK
H406	0000001011	0.4791238416826393	NK
H407	0000011010	0.4779866233657602	NK
H408	0000011011	0.4767437674021894	NK
H409	1000001101	0.4765526873939695	NK
H410	1100100001	0.47648976655682673	NK
H411	0000010010	0.4753100237810109	NK
H412	0001111110	0.47514791093963654	NK
H413	0010101010	0.4749989297438282	NK
H414	1000011101	0.4741726131135196	NK
H415	1010100000	0.47416890085973784	NK
H416	0100001000	0.47415360106113036	NK
H417	0000010011	0.47406716781744007	NK
H418	0001111111	0.4739050549760657	NK
H419	0010101011	0.47375607378025736	NK
H420	0100001001	0.47291074509755954	NK
H421	0010111010	0.4726188554633783	NK
H422	0001110110	0.47247131135488724	NK
H423	0100011000	0.47177352678068046	NK
H424	1000010101	0.47149601352877035	NK
H425	0010111011	0.47137599949980746	NK
H426	0001110111	0.4712284553913162	NK
H427	0100011001	0.47053067081710964	NK
H428	0010110010	0.469942255878629	NK
H429	0011111000	0.469699983826156	NK
H430	0100010000	0.46909692719593116	NK
H431	1001111010	0.4690152634415211	NK
H432	0000101000	0.4689718764180349	NK
