ranked_id	hap	fit	model	N_max	r/s
H000	00001011110111010111	1.0	rmf	49302	9.993390304867278
H001	11101101011010000010	0.8972912061949311	rmf	49302	9.993390304867278
H002	11101101101111100110	0.8798351039331735	rmf	49302	9.993390304867278
H003	11000000011010011000	0.8703185432686623	rmf	49302	9.993390304867278
H004	10100100001001011010	0.8626948264959844	rmf	49302	9.993390304867278
H005	01001101010101000011	0.8564928032775696	rmf	49302	9.993390304867278
H006	01100101110110111100	0.8513280715239963	rmf	49302	9.993390304867278
H007	01100001010111000011	0.8463137573854835	rmf	49302	9.993390304867278
H008	10100001111100110101	0.8423486624557035	rmf	49302	9.993390304867278
H009	11101101110110000000	0.8381428888539612	rmf	49302	9.993390304867278
H010	10001001001010111011	0.8347455504123701	rmf	49302	9.993390304867278
H011	10010100011001011011	0.8320685191652919	rmf	49302	9.993390304867278
H012	10001010111110010010	0.8296475178901507	rmf	49302	9.993390304867278
H013	00110101100001101111	0.8270067745641541	rmf	49302	9.993390304867278
H014	00000111101110000110	0.8245929529540503	rmf	49302	9.993390304867278
H015	11111111001101011110	0.8226463630614987	rmf	49302	9.993390304867278
H016	11000100110110010101	0.8208693500017629	rmf	49302	9.993390304867278
H017	10100010100001000110	0.8188119296953427	rmf	49302	9.993390304867278
H018	11111000101010110011	0.816729988347071	rmf	49302	9.993390304867278
H019	11110100100000100101	0.8151040971771661	rmf	49302	9.993390304867278
H020	01000111011101010010	0.8135789420019701	rmf	49302	9.993390304867278
H021	01110011000111000111	0.8119069576288647	rmf	49302	9.993390304867278
H022	01001001110111101111	0.8102016121862382	rmf	49302	9.993390304867278
H023	11111101100011010110	0.8085175870651203	rmf	49302	9.993390304867278
H024	00101110100111110110	0.8071645329743343	rmf	49302	9.993390304867278
H025	00000111101110010010	0.8058215142877745	rmf	49302	9.993390304867278
H026	11000110001010011000	0.8045570109188677	rmf	49302	9.993390304867278
H027	01110010110111110001	0.8032557443069553	rmf	49302	9.993390304867278
H028	01001001101000011101	0.8020717901704765	rmf	49302	9.993390304867278
H029	00100000011101100010	0.8009763711300584	rmf	49302	9.993390304867278
H030	10101111110010010001	0.8000130423746955	rmf	49302	9.993390304867278
H031	00110101110100000000	0.7986517458715209	rmf	49302	9.993390304867278
H032	01110111011010001000	0.7975969838355713	rmf	49302	9.993390304867278
H033	10111101111001011110	0.7966798081642458	rmf	49302	9.993390304867278
H034	11001001110110001000	0.7955643129489042	rmf	49302	9.993390304867278
H035	11011011011001101110	0.7946545106765032	rmf	49302	9.993390304867278
H036	01101000010111110100	0.7937626811064298	rmf	49302	9.993390304867278
H037	01001111110001101000	0.7928129137343357	rmf	49302	9.993390304867278
H038	01110101101100101111	0.791840587377761	rmf	49302	9.993390304867278
H039	01101011011100011000	0.790957778576537	rmf	49302	9.993390304867278
H040	11101100010001011000	0.7901977366122691	rmf	49302	9.993390304867278
H041	00000111100110100001	0.7893957379553227	rmf	49302	9.993390304867278
H042	10110011101111011000	0.7886926710573893	rmf	49302	9.993390304867278
H043	01001000111101010101	0.7879540950686119	rmf	49302	9.993390304867278
H044	11110111110011011100	0.7872015795983075	rmf	49302	9.993390304867278
H045	10001001110110011001	0.7864182214559882	rmf	49302	9.993390304867278
H046	10010111001011111001	0.7856037097832986	rmf	49302	9.993390304867278
H047	11000110110001011110	0.7848427059494723	rmf	49302	9.993390304867278
H048	11000101000101101110	0.7840260860102057	rmf	49302	9.993390304867278
H049	10101101000101010101	0.7832955417208929	rmf	49302	9.993390304867278
H050	00100100101011000111	0.7826167424682773	rmf	49302	9.993390304867278
H051	00100010100010111110	0.7819517696452515	rmf	49302	9.993390304867278
H052	11011011101001100011	0.7812375987058809	rmf	49302	9.993390304867278
H053	00100111111100000010	0.7804207618105667	rmf	49302	9.993390304867278
H054	11001010100001000101	0.7797076655709765	rmf	49302	9.993390304867278
H055	00000100100110000011	0.7790573302587719	rmf	49302	9.993390304867278
H056	00101001100111110010	0.7782688594653125	rmf	49302	9.993390304867278
H057	11101111111111011101	0.7775744100551542	rmf	49302	9.993390304867278
H058	11001001110111101111	0.7767568521956209	rmf	49302	9.993390304867278
H059	01100010110011110110	0.7760680579818744	rmf	49302	9.993390304867278
H060	11001011011000010011	0.775530154191408	rmf	49302	9.993390304867278
H061	10100101000011010111	0.7749375311312048	rmf	49302	9.993390304867278
H062	10100010000101011001	0.7744137666842705	rmf	49302	9.993390304867278
H063	10011000100100100111	0.7738203483864082	rmf	49302	9.993390304867278
H064	10011010100111001010	0.7732244380319798	rmf	49302	9.993390304867278
H065	00101100001100011010	0.772661832903227	rmf	49302	9.993390304867278
H066	11010010011010000010	0.7720108084708186	rmf	49302	9.993390304867278
H067	11011111101001010000	0.7714711407994361	rmf	49302	9.993390304867278
