Generation	String	Fitness	Landscape	Algorithm
1	1110000001111111111101100110111001010000000011110110011101111110101111000011011011001110100100110001	51	Additive	novelty
1	1110100001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	51	Additive	novelty
1	1110000001111111111101000110111001010000000001110110011101111110101111000011011011001110100100110001	51	Additive	novelty
1	1110000001111111111101100110111001010000000001110110011001111110101111000011011011001110100100110001	53	Additive	novelty
1	1110100001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	51	Additive	novelty
1	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001110101100110001	51	Additive	novelty
1	1110000001111111111101100110111001010000000001100110011101111110101111000011011011001110100100110001	53	Additive	novelty
1	1110000001111111111001100110111001010000000001110110011101111110101111000011011011001110100100110001	53	Additive	novelty
1	1110000001111111111101100110111001010000000001110110011101111110111111000011011011001110100100110001	51	Additive	novelty
1	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001111100100110001	53	Additive	novelty
2	1110000001111111111101100110111001010000000101110110011101111110101111000011011011001111100100110001	54	Additive	novelty
2	1110000001111111111101100110111001010000000001110110011101111110111111000011011011001111100100110001	52	Additive	novelty
2	1110000001110111111101100110111001010000000001110110011101111110101111000011011011001111100100110001	54	Additive	novelty
2	1110000001111111111101100110111001010000000001110110011101111110101110000011011011001111100100110001	52	Additive	novelty
2	1110000001111111111101100110111001011000000001110110011101111110101111000011011011001111100100110001	52	Additive	novelty
2	1110000001111111101101100110111001010000000001110110011101111110101111000011011011001111100100110001	52	Additive	novelty
2	1110000001110111111101100110111001010000000001110110011101111110101111000011011011001111100100110001	54	Additive	novelty
2	1111000001111111111101100110111001010000000001110110011101111110101111000011011011001111100100110001	52	Additive	novelty
2	1110000001111111111101100110111001010000000001110110011101111110100111000011011011001111100100110001	52	Additive	novelty
2	1111000001111111111101100110111001010000000001110110011101111110101111000011011011001111100100110001	52	Additive	novelty
3	1110000001111111111101100110111001010000000001110110011101111111111111000011011011001111100100110001	51	Additive	novelty
3	1110000001110111111101100110011001010000000001110110011101111110101111000011011011001111100100110001	55	Additive	novelty
3	1110000001110111111101100110111001010000000001110110011101111110111111000011011011001111100100110001	53	Additive	novelty
3	1110000001111111111101100110111001010000000001110110011101111110101100000011011011001111100100110001	53	Additive	novelty
3	1110000001111111111101100110111001010000000001110110011101011110101110000011011011001111100100110001	53	Additive	novelty
3	1110000001111111111101100110111001011000000001110110011101111110101101000011011011001111100100110001	53	Additive	novelty
3	1110000001111111101101100110111000010000000001110110011101111110101111000011011011001111100100110001	53	Additive	novelty
3	1110000001110111111101100100111001010000000001110110011101111110101111000011011011001111100100110001	53	Additive	novelty
3	1111000001111111111101100110111001010000000001110110011101111110101101000011011011001111100100110001	53	Additive	novelty
3	1110100001111111111101100110111001010000000001110110011101111110111111000011011011001111100100110001	51	Additive	novelty
4	1110100001111111111101100110111001010000000001100110011101111110111111000011011011001111100100110001	52	Additive	novelty
4	1110100001111111111101100110111001010000000001110110011101111110111111000011111011001111100100110001	50	Additive	novelty
4	1110110001111111111101100110111001010000000001110110011101111110111111000011011011001111100100110001	52	Additive	novelty
4	1110100001111111111101100110111001010000000001110110011101111110111111000011011011001111100110110001	52	Additive	novelty
4	1110100001111111111101100110011001010000000001110110011101111110111111000011011011001111100100110001	52	Additive	novelty
4	1110100001111111111101100110111001010000000001100110011101111110111111000011011011001111100100110001	52	Additive	novelty
4	1110100001111111111101100110111001010000000001110110011101111110111111000011011011001111110100110001	50	Additive	novelty
4	1110000001111111111101100110111001010000000001110110011101111110111111000011011011001111100100110001	52	Additive	novelty
4	1110000001110111111101100110111001010000000001110110011101111110101111000011011011001111100100110001	54	Additive	novelty
4	1110000001111111111101100110111001010000000001110110011101111110101101000011011011001111100100110001	54	Additive	novelty
5	1110000001111111111101100110111001010000000011110110011101111110111111000011011011001111100100110001	51	Additive	novelty
5	1110000001111110111101100110111001010000000001110110011101111110111111000011011011001111100100110001	53	Additive	novelty
5	1110000001111111111101100110111001010000000001110110011101111110111011000011011011001111100100110001	53	Additive	novelty
5	1110000001111111111101100110111001010000100001110110011101111110111111000011011011001111100100110001	51	Additive	novelty
5	1110000001111111111101100110111001010000000001110110011101111110111101000011011011001111100100110001	53	Additive	novelty
5	1110100001111111111101100110111001010000000001100110011101111110101111000011011011001111100100110001	53	Additive	novelty
5	1110100001111111111101100110011001010000000001110110011101111110101111000011011011001111100100110001	53	Additive	novelty
5	1110100001111111111101100110111001010000000001110110011101111110111111000011011011001111100100110001	51	Additive	novelty
