Generation	String	Fitness	Landscape	Algorithm
1	1110000001111111111101100110111001010000000000110110011101111110101111000011011011001110100100110001	49	Exponential	novelty
1	1110000001111111111101100110111001010000000001110110011101111110111111000011011011001110100100110001	51	Exponential	novelty
1	1110000001111111111101100110111001010000000001110110011101111110101111000011011011000110100100110001	49	Exponential	novelty
1	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110000	51	Exponential	novelty
1	0110000001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	51	Exponential	novelty
1	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110101	49	Exponential	novelty
1	1110000001111111011101100110111001010000000001110110011101111110101111000011011011001110100100110001	51	Exponential	novelty
1	1110000001111111111101100110111001010000000001110110011101111110101111000011011011101110100100110001	51	Exponential	novelty
1	1110000001111111111101100110111001010000000001110110011101111110101111000011011010001110100100110001	49	Exponential	novelty
1	1110000001111111111101100110111001010000000001110110011101011110101111000011011011001110100100110001	51	Exponential	novelty
2	1110000001111111111101100110111001010000000001110110001101011110101111000011011011001110100100110001	50	Exponential	novelty
2	1110000011111111111101100110111001010000000001110110011101011110101111000011011011001110100100110001	52	Exponential	novelty
2	1110000001111111111101100110111000010000000001110110011101011110101111000011011011001110100100110001	50	Exponential	novelty
2	1110000011111111111101100110111001010000000001110110011101011110101111000011011011001110100100110001	52	Exponential	novelty
2	1110000001111111111101100110111001010000000001110110011101011110101111000111011011001110100100110001	52	Exponential	novelty
2	1110000001111111011101100110111001010000000001110110011101011110101111000011011011001110100100110001	52	Exponential	novelty
2	1110000001111111111101100110111001010000000001110110011101011110101111000011011111001110100100110001	50	Exponential	novelty
2	1110000001111111111101110110111001010000000001110110011101011110101111000011011011001110100100110001	50	Exponential	novelty
2	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	50	Exponential	novelty
2	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	50	Exponential	novelty
3	1110000001111111111101100110111001010000000001110110011101111110101111000011011011011110100100110001	51	Exponential	novelty
3	1110000001111111111101100110111001010000000001110110011101111110101110000011011011001110100100110001	51	Exponential	novelty
3	1111000001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	49	Exponential	novelty
3	1110000001111111111101100110111001010000000011110110011101111110101111000011011011001110100100110001	49	Exponential	novelty
3	1110000001111111111101100110111001010000000001110110011111111110101111000011011011001110100100110001	51	Exponential	novelty
3	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110101	49	Exponential	novelty
3	1110000001011111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	49	Exponential	novelty
3	1110000001111111111101100110111001010010000001110110011101111110101111000011011011001110100100110001	49	Exponential	novelty
3	1110000001111111111101100110111001010000000001110110011101111110001111000011011011001110100100110001	51	Exponential	novelty
3	1110000001111111111101100110111001010000000001110110011101011110101111000011011011001110100100110001	51	Exponential	novelty
4	1110000001111111111101100110111001010000000001110110011101011110101111000011011011001100100100110001	50	Exponential	novelty
4	1110000001111111111101100110111001010000000001110110011101011010101111000011011011001110100100110001	52	Exponential	novelty
4	1110000001111111111101100010111001010000000001110110011101011110101111000011011011001110100100110001	50	Exponential	novelty
4	1110000001111111111101100110111001010000000000110110011101011110101111000011011011001110100100110001	50	Exponential	novelty
4	1110000001111111111101100110111001010000000001110110011101011110100111000011011011001110100100110001	50	Exponential	novelty
