Generation	String	Fitness	Landscape	Algorithm
1	1110000001111111111101100110111001010000000101110110011101111110101111000011011011001110100100110001	59	Exponential	objective
1	1110000001111111111111100110111001010000000001110110011101111110101111000011011011001110100100110001	59	Exponential	objective
1	1010000001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	59	Exponential	objective
1	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001110100100100001	59	Exponential	objective
1	1010000001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	59	Exponential	objective
1	0110000001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	59	Exponential	objective
1	1110000001111111111111100110111001010000000001110110011101111110101111000011011011001110100100110001	59	Exponential	objective
1	1110000001111111111101100110111001010000000001110110011101111110101101000011011011001110100100110001	59	Exponential	objective
1	1110000001111011111101100110111001010000000001110110011101111110101111000011011011001110100100110001	59	Exponential	objective
1	1110000001111111111101100110111001010000000101110110011101111110101111000011011011001110100100110001	59	Exponential	objective
2	1110000001011111111101100110111001010000000001110110011101111110101101000011011011001110100100110001	60	Exponential	objective
2	1110000001111111111101100110111001010100000001110110011101111110101101000011011011001110100100110001	60	Exponential	objective
2	1110000001111011111101100110111001010000000001110110011101111010101111000011011011001110100100110001	60	Exponential	objective
2	1110000001111011111101100110111001010000000001110110011101111110101011000011011011001110100100110001	60	Exponential	objective
2	1110000001110111111101100110111001010000000101110110011101111110101111000011011011001110100100110001	60	Exponential	objective
2	1110000001111111111101100110111001010100000101110110011101111110101111000011011011001110100100110001	60	Exponential	objective
2	1110000001111111111101100110111001010000000101110110001101111110101111000011011011001110100100110001	60	Exponential	objective
2	1110000001111111111101100110101001010000000101110110011101111110101111000011011011001110100100110001	60	Exponential	objective
2	1110000001011111111101100110111001010000000101110110011101111110101111000011011011001110100100110001	60	Exponential	objective
2	1110000001111111111101100110111001010000100101110110011101111110101111000011011011001110100100110001	60	Exponential	objective
3	1110010001111111111101100110101001010000000101110110011101111110101111000011011011001110100100110001	61	Exponential	objective
3	1110000001011111111101100110111001010000000101110110011101111110101111000011011011001010100100110001	61	Exponential	objective
3	1110000001011111111101100110111001010000000101111110011101111110101111000011011011001110100100110001	61	Exponential	objective
3	1110000001011111111101100110111001010000000101110110010101111110101111000011011011001110100100110001	61	Exponential	objective
3	1110000001011111111101100110101001010000000101110110011101111110101111000011011011001110100100110001	61	Exponential	objective
3	1110000001011111111111100110111001010000000101110110011101111110101111000011011011001110100100110001	61	Exponential	objective
3	1110000001111111111101100110111001010000100101110110011101111110101111000011011001001110100100110001	61	Exponential	objective
3	1110010001111111111101100110111001010000100101110110011101111110101111000011011011001110100100110001	61	Exponential	objective
3	1110000001111111111101100110111001010000100101110110001101111110101111000011011011001110100100110001	61	Exponential	objective
3	1110000001111111111101100110111001010000100101110110011101111110101111000011011111001110100100110001	61	Exponential	objective
4	0110010001111111111101100110111001010000100101110110011101111110101111000011011011001110100100110001	62	Exponential	objective
4	1110010001111111111101100100111001010000100101110110011101111110101111000011011011001110100100110001	62	Exponential	objective
4	1110000001011111111101100110111001010000100101110110001101111110101111000011011011001110100100110001	62	Exponential	objective
4	1110000001111111111101100110111001010000100100110110001101111110101111000011011011001110100100110001	62	Exponential	objective
4	1110000001111111111101100110111001010000100101110110001101111110101111000011011011011110100100110001	62	Exponential	objective
4	1110000001111111111101100110111001010000100101110110001111111110101111000011011011001110100100110001	62	Exponential	objective
4	1110000001111111111101100110111001010000100101110110001101111110101111000011011011011110100100110001	62	Exponential	objective
4	0110000001111111111101100110111001010000100101110110011101111110101111000011011111001110100100110001	62	Exponential	objective
4	1110000001111111111101100010111001010000100101110110011101111110101111000011011111001110100100110001	62	Exponential	objective
4	1110000001111111111101100110111001010000100101110110011101111110101111000010011111001110100100110001	62	Exponential	objective
5	1110010001111111111101100110111001010000100101110110001111111110101111000011011011001110100100110001	63	Exponential	objective
5	1110000001111111111101100110111001010000100101110110001101111110101111000011011001011110100100110001	63	Exponential	objective
5	0110000001111111111101100110111001010000100101110110011101111110101011000011011111001110100100110001	63	Exponential	objective
5	0110000001111111111101101110111001010000100101110110011101111110101111000011011111001110100100110001	63	Exponential	objective
5	0110000001111111111101100110101001010000100101110110011101111110101111000011011111001110100100110001	63	Exponential	objective
5	0110000001111111111101100110111001010000100101110110011101111110101111000011011111001010100100110001	63	Exponential	objective
5	1110000001111111111101100010111001010000100101110110011101111110101111000011011111001010100100110001	63	Exponential	objective
5	1010000001111111111101100010111001010000100101110110011101111110101111000011011111001110100100110001	63	Exponential	objective
5	1111000001111111111101100110111001010000100101110110011101111110101111000010011111001110100100110001	63	Exponential	objective
5	1110000001111111111101100110111001010000100101110110001101111110101111000010011111001110100100110001	63	Exponential	objective
6	1111000001110111111101100110111001010000100101110110011101111110101111000010011111001110100100110001	64	Exponential	objective
6	1111000001011111111101100110111001010000100101110110011101111110101111000010011111001110100100110001	64	Exponential	objective
6	1011000001111111111101100110111001010000100101110110011101111110101111000010011111001110100100110001	64	Exponential	objective
6	1111000001111111111101101110111001010000100101110110011101111110101111000010011111001110100100110001	64	Exponential	objective
6	1110000001111111111101100110111001010000100101110110001101111110101111000010010111001110100100110001	64	Exponential	objective
6	1110000001111111111101100110111001010000100101110110001101111110100111000010011111001110100100110001	64	Exponential	objective
6	1110000001111011111101100110111001010000100101110110001101111110101111000010011111001110100100110001	64	Exponential	objective
6	1110000001111111111101100110111001010000100101110010001101111110101111000010011111001110100100110001	64	Exponential	objective
6	1111000001111111111101100110111001010000100101110110001101111110101111000010011111001110100100110001	64	Exponential	objective
6	1110000001111111111101100010111001010000100101110110001101111110101111000010011111001110100100110001	64	Exponential	objective
7	1111000001111111111101100110111001000000100101110110001101111110101111000010011111001110100100110001	65	Exponential	objective
7	1111000001111111111101100110111001010000100101110110001101111110101111000010011111001110100100110011	65	Exponential	objective
7	1111000001111111111101100110111001010000100101110110001101111110101111000010010111001110100100110001	65	Exponential	objective
7	1110000001111111111101100010111001011000100101110110001101111110101111000010011111001110100100110001	65	Exponential	objective
7	1110000001111111111101100010111001010000100101110110001101111110101111000010010111001110100100110001	65	Exponential	objective
7	1110000001111111111101100010111001010000100101110110001101111110101111000010011111001010100100110001	65	Exponential	objective
7	1110000001111111111101100010111001010000100101110110001101111110101111000010011111001110100100100001	65	Exponential	objective
7	1110010001111111111101100010111001010000100101110110001101111110101111000010011111001110100100110001	65	Exponential	objective
7	1110000001111111111101100010111001010000100101110110001101111110101110000010011111001110100100110001	65	Exponential	objective
