Generation	String	Fitness	Landscape	Algorithm
1	1110000001111111111101100110111001010000000001110110011101111110101011000011011011001110100100110001	48	Normal	combo
1	1110000001111111111101100110111001010000000001110110111101111110101111000011011011001110100100110001	48	Normal	combo
1	1110000001111111101101100110111001010000000001110110011101111110101111000011011011001110100100110001	48	Normal	combo
1	1110000001111111111101100110111001010000000001110110011101111110101011000011011011001110100100110001	48	Normal	combo
1	1110000001111111111101100110111001010000000001110110011101111110101111000010011011001110100100110001	48	Normal	combo
1	1110000001101111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	48	Normal	combo
1	1110000001111111111101100110111001010000100001110110011101111110101111000011011011001110100100110001	48	Normal	combo
1	1110000001111111111101100110101001010000000001110110011101111110101111000011011011001110100100110001	48	Normal	combo
1	1110000001111111111101100110111001010000000001110110011101111110101111000010011011001110100100110001	48	Normal	combo
1	1110000001111111111101100110111001010000000001110110011100111110101111000011011011001110100100110001	48	Normal	combo
2	1110000001111110111101100110111001010000000001110110011101111110101111000010011011001110100100110001	49	Normal	combo
2	1110000001111111111101100110111001010000000001110110011101111110101111000010011011001110100000110001	49	Normal	combo
2	1110000011111111111101100110111001010000000001110110011101111110101111000010011011001110100100110001	49	Normal	combo
2	1110000001111111111101100110111001010000000001110110011100111110101111000011011011001110100000110001	49	Normal	combo
2	1110000001111011111101100110111001010000000001110110011100111110101111000011011011001110100100110001	49	Normal	combo
2	1110000001111111111101100110111001010000000001110110011100111110101111000011011011001110101100110001	49	Normal	combo
2	1110000001111111111101100110111001010000000011110110011100111110101111000011011011001110100100110001	49	Normal	combo
2	1110000001111111111101100110101001010000000001110110011100111110101111000011011011001110100100110001	49	Normal	combo
2	1110000001111111111101100110111001010000000001110110011100111010101111000011011011001110100100110001	49	Normal	combo
2	1110000001111111111101000110111001010000000001110110011100111110101111000011011011001110100100110001	49	Normal	combo
3	1110000001111111111101100110111001010000000001110110011100111010101111000111011011001110100100110001	50	Normal	combo
3	1110000001111111111101000110111001010000000001110110011100111110101111000011011011001110101100110001	50	Normal	combo
3	1110000001101111111101000110111001010000000001110110011100111110101111000011011011001110100100110001	50	Normal	combo
3	1110000001111101111101000110111001010000000001110110011100111110101111000011011011001110100100110001	50	Normal	combo
3	1110000001111111111101000110111001010000000001110110011100111110101111000011011011001110100100110000	50	Normal	combo
3	1110000001111111111101000110111101010000000001110110011100111110101111000011011011001110100100110001	50	Normal	combo
3	1110000001101111111101000110111001010000000001110110011100111110101111000011011011001110100100110001	50	Normal	combo
3	1110000001111110111101000110111001010000000001110110011100111110101111000011011011001110100100110001	50	Normal	combo
3	1110000001111111111101000110111001010000000001110110011100111110101111000011011011001110100110110001	50	Normal	combo
3	1110000001111011111101100110111001010000000001110110011100111110101111000010011011001110100100110001	50	Normal	combo
4	1110000001111110011101000110111001010000000001110110011100111110101111000011011011001110100100110001	51	Normal	combo
4	1110100001111110111101000110111001010000000001110110011100111110101111000011011011001110100100110001	51	Normal	combo
4	1110000001111110111101000110111001010000000001110110011100111110101111000011011011001111100100110001	51	Normal	combo
4	1110001001111110111101000110111001010000000001110110011100111110101111000011011011001110100100110001	51	Normal	combo
