Generation	String	Fitness	Landscape	Algorithm
1	1110000001111111111101100110111101010000000001110110011101111110101111000011011011001110100100110001	51	Normal	novelty
1	1110000001111111111101100110111001010000000001110110011101101110101111000011011011001110100100110001	51	Normal	novelty
1	1110000001111111111101100110111001010100000001110110011101111110101111000011011011001110100100110001	51	Normal	novelty
1	1110000001101111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	49	Normal	novelty
1	1110000001111111111101100110111001010000000011110110011101111110101111000011011011001110100100110001	51	Normal	novelty
1	1110000001111111111101100110111001010000000001110110011101111110101111000001011011001110100100110001	51	Normal	novelty
1	1110000001111111111101100110111001010000000001110110011100111110101111000011011011001110100100110001	49	Normal	novelty
1	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110101	51	Normal	novelty
1	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001010100100110001	49	Normal	novelty
1	1110000001111111111101100110111001010000000001010110011101111110101111000011011011001110100100110001	51	Normal	novelty
2	1110000001111111111101100110111001010000000001010110011101111110101111100011011011001110100100110001	50	Normal	novelty
2	1110000001111111011101100110111001010000000001010110011101111110101111000011011011001110100100110001	50	Normal	novelty
2	1110000001111111111101100110111001010000000001010110011101111110101111010011011011001110100100110001	50	Normal	novelty
2	1110000001111111111101100110111001000000000001010110011101111110101111000011011011001110100100110001	50	Normal	novelty
2	1110000001111111111101100110111001010000010001010110011101111110101111000011011011001110100100110001	52	Normal	novelty
2	1110000001111111111101100110111001010000010001010110011101111110101111000011011011001110100100110001	52	Normal	novelty
2	1110000001111111111101100110111001010000000001010110001101111110101111000011011011001110100100110001	52	Normal	novelty
2	1110000001111111111101100110111001010000000001010110011101111110111111000011011011001110100100110001	52	Normal	novelty
2	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	50	Normal	novelty
2	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	50	Normal	novelty
3	1110000001111111111101100110111001010000000001110110011101111110111111000011011011001110100100110001	51	Normal	novelty
3	1110000001111111111101100110111101010000000001110110011101111110101111000011011011001110100100110001	51	Normal	novelty
3	1110000001111111111101100110111001010000000001110111011101111110101111000011011011001110100100110001	51	Normal	novelty
3	1110000001101111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	49	Normal	novelty
3	1110000001111111111101100110111001010000100001110110011101111110101111000011011011001110100100110001	51	Normal	novelty
3	1110000001111111111101100110111001010000000001110110011101111110101111000001011011001110100100110001	51	Normal	novelty
3	1110000001111111111101100110111001010000000001110010011101111110101111000011011011001110100100110001	51	Normal	novelty
3	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110101	51	Normal	novelty
3	1110000001111111111101100110111001010000000001010110011101111110101111000011011011001110100100110001	51	Normal	novelty
3	1110000001111111111101100110111001010000000001010110011101111110101111000011011011001110100100110001	51	Normal	novelty
4	1110000001111111111101100010111001010000000001010110011101111110101111000011011011001110100100110001	50	Normal	novelty
4	1110000001111111111101100110111101010000000001010110011101111110101111000011011011001110100100110001	52	Normal	novelty
4	1110000101111111111101100110111001010000000001010110011101111110101111000011011011001110100100110001	50	Normal	novelty
4	1110000001111111111101100110111001010000000001010110011101111110101111000011001011001110100100110001	50	Normal	novelty
4	1110000001111111111101100110111011010000000001010110011101111110101111000011011011001110100100110001	50	Normal	novelty
4	1110000001111111111101100110111001010000000001010110011101111110101111000011111011001110100100110001	52	Normal	novelty
4	1110000001111111111101100110111001010000000001010110011101111110101011000011011011001110100100110001	50	Normal	novelty
4	1110000001111111111101100110111001010000000001011110011101111110101111000011011011001110100100110001	52	Normal	novelty
4	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	50	Normal	novelty
4	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	50	Normal	novelty
5	1110000001111111111101100110111011010000000001110110011101111110101111000011011011001110100100110001	49	Normal	novelty
5	1110000001111111111101100110111001010000000001110110011101111110101111001011011011001110100100110001	49	Normal	novelty
5	1010000001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	51	Normal	novelty
5	1110000001111111111101100110111001010001000001110110011101111110101111000011011011001110100100110001	51	Normal	novelty
5	1110000001111111111101100110111001010000000011110110011101111110101111000011011011001110100100110001	51	Normal	novelty
5	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110011	49	Normal	novelty
