Generation	String	Fitness	Landscape	Algorithm
1	0110000001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	44	Normal	objective
1	1110000001111111111101100110111001010000000001100110011101111110101111000011011011001110100100110001	44	Normal	objective
1	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001010100100110001	44	Normal	objective
1	1110010001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	44	Normal	objective
1	1110000001111111111101100110111001010000000001110110011101111110101111000011111011001110100100110001	44	Normal	objective
1	1110001001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	44	Normal	objective
1	1110000001111111111101100110111011010000000001110110011101111110101111000011011011001110100100110001	44	Normal	objective
1	1110000001111111111101100110111001010000000001110110011101111110101111000011011010001110100100110001	44	Normal	objective
1	1110000001111111111101100110111001011000000001110110011101111110101111000011011011001110100100110001	44	Normal	objective
1	1110000001111111111101100100111001010000000001110110011101111110101111000011011011001110100100110001	44	Normal	objective
2	1111000001111111111101100110111001010000000001110110011101111110101111000011011010001110100100110001	45	Normal	objective
2	1110000001111111111101100110110001010000000001110110011101111110101111000011011010001110100100110001	45	Normal	objective
2	1110000001111111111100100110111001010000000001110110011101111110101111000011011010001110100100110001	45	Normal	objective
2	1110000001111111111101100111111001011000000001110110011101111110101111000011011011001110100100110001	45	Normal	objective
2	1110000001111111111101100110111001011000100001110110011101111110101111000011011011001110100100110001	45	Normal	objective
2	1110000001111111111101100110111001011000100001110110011101111110101111000011011011001110100100110001	45	Normal	objective
2	1110010001111111111101100100111001010000000001110110011101111110101111000011011011001110100100110001	45	Normal	objective
2	1110000001111111111101100100111001010000000001110110011111111110101111000011011011001110100100110001	45	Normal	objective
2	1111000001111111111101100100111001010000000001110110011101111110101111000011011011001110100100110001	45	Normal	objective
2	1110000001111111111101100100111001010000000001110110011101111110101111000011011011001010100100110001	45	Normal	objective
3	1111000001111111111101100100111001010000000001110110011101111110101111001011011011001110100100110001	46	Normal	objective
3	1111010001111111111101100100111001010000000001110110011101111110101111000011011011001110100100110001	46	Normal	objective
3	1111000001111111111101100100111001011000000001110110011101111110101111000011011011001110100100110001	46	Normal	objective
3	1111000001111111111101100100111001010000010001110110011101111110101111000011011011001110100100110001	46	Normal	objective
3	1111000001111111111101100100111001010000000001110110011101111110101111001011011011001110100100110001	46	Normal	objective
3	1110000001111111111101100100111001010000000000110110011101111110101111000011011011001010100100110001	46	Normal	objective
3	1110000011111111111101100100111001010000000001110110011101111110101111000011011011001010100100110001	46	Normal	objective
3	1110000011111111111101100100111001010000000001110110011101111110101111000011011011001010100100110001	46	Normal	objective
3	1110000001111111111101100100111001010000010001110110011101111110101111000011011011001010100100110001	46	Normal	objective
3	1110000001111110111101100100111001010000000001110110011101111110101111000011011011001010100100110001	46	Normal	objective
4	1110000001111111111101100100110001010000010001110110011101111110101111000011011011001010100100110001	47	Normal	objective
4	1110000001111111111100100100111001010000010001110110011101111110101111000011011011001010100100110001	47	Normal	objective
4	1110000001111111111101100100111001010000010001110110011101101110101111000011011011001010100100110001	47	Normal	objective
4	1110000001111101111101100100111001010000010001110110011101111110101111000011011011001010100100110001	47	Normal	objective
4	1111000001111111111101100100111001010000010001110110011101111110101111000011011011001010100100110001	47	Normal	objective
4	1110000001111110111101100100111001010000000001110110011101111110101111010011011011001010100100110001	47	Normal	objective
4	1110000001111110111101100100111001011000000001110110011101111110101111000011011011001010100100110001	47	Normal	objective
4	1110000001111110111101100100110001010000000001110110011101111110101111000011011011001010100100110001	47	Normal	objective
4	1110000001111110111101100100111001010000000001110110111101111110101111000011011011001010100100110001	47	Normal	objective
4	1110000001111110111101100100111001010000000001110110011100111110101111000011011011001010100100110001	47	Normal	objective
5	1110000001111110111101100100110001010000000001110110011001111110101111000011011011001010100100110001	48	Normal	objective
5	1110000001111110111101100100110001010000000001110100011101111110101111000011011011001010100100110001	48	Normal	objective
5	1110000001111110111101100100110001010000000000110110011101111110101111000011011011001010100100110001	48	Normal	objective
5	1110000001111110101101100100111001010000000001110110111101111110101111000011011011001010100100110001	48	Normal	objective
5	1110000001111110111101100101111001010000000001110110111101111110101111000011011011001010100100110001	48	Normal	objective
5	1110000001111110111101100101111001010000000001110110111101111110101111000011011011001010100100110001	48	Normal	objective
5	1111000001111110111101100100111001010000000001110110111101111110101111000011011011001010100100110001	48	Normal	objective
5	1110000001111110111101100100111001010000000001110110011110111110101111000011011011001010100100110001	48	Normal	objective
5	1110000001111110111101100100111001010000000001110110011100110110101111000011011011001010100100110001	48	Normal	objective
5	1110000001111110111101100100111001010000000001110110011100111110101111000011011011001010110100110001	48	Normal	objective
6	1110000001111110111100100100111001010000000001110110011100110110101111000011011011001010100100110001	49	Normal	objective
6	1110000001111110111101100100111001010000000001110110011100110110101111000011010011001010100100110001	49	Normal	objective
6	1110000001111110111101100100111001010000000001100110011100110110101111000011011011001010100100110001	49	Normal	objective
6	1110000001111110111101100100111001011000000001110110011100111110101111000011011011001010110100110001	49	Normal	objective
6	1110000001111110111101100100111001010000000001110110111100111110101111000011011011001010110100110001	49	Normal	objective
6	1110000001111110111101100100111001010000010001110110011100111110101111000011011011001010110100110001	49	Normal	objective
6	1110000001111110111101100100111001010000000001110110011100111100101111000011011011001010110100110001	49	Normal	objective
6	1110000001111110111101100100111001010000000001100110011100111110101111000011011011001010110100110001	49	Normal	objective
6	1110000000111110111101100100111001010000000001110110011100111110101111000011011011001010110100110001	49	Normal	objective
6	1110000001111110111101100100111001010000000001110110011100111110101111000011010011001010110100110001	49	Normal	objective
7	1110001000111110111101100100111001010000000001110110011100111110101111000011011011001010110100110001	50	Normal	objective
7	1110000100111110111101100100111001010000000001110110011100111110101111000011011011001010110100110001	50	Normal	objective
7	1110000000111110111101100100111001010000000001110110011100111010101111000011011011001010110100110001	50	Normal	objective
7	1110000001111110111101100100111001010000000001110110011100111110101111000011010011001010010100110001	50	Normal	objective
7	1110000001111110111101100100111001010000000001110100011100111110101111000011010011001010110100110001	50	Normal	objective
7	1110000001111110111101100100111001010000000001110110011100111110101111001011010011001010110100110001	50	Normal	objective
7	1110000001111110111101100100111001010000000001110110011100111110111111000011010011001010110100110001	50	Normal	objective
7	1110000001111110111101100100111001010000000001100110011100111110101111000011010011001010110100110001	50	Normal	objective
7	1110001001111110111101100100111001010000000001110110011100111110101111000011010011001010110100110001	50	Normal	objective
7	1110000001111110111101100100111001010000000001110111011100111110101111000011010011001010110100110001	50	Normal	objective
8	1110001001111110111101100100111001010000000001110110011100111110101111000011010011001010110101110001	51	Normal	objective
8	1110001001111110111101100100111001010000000001110110011100111110101111000011010011001010010100110001	51	Normal	objective
8	1110001001111110111101100100111001010000000001110111011100111110101111000011010011001010110100110001	51	Normal	objective
8	1110001001111110111101100100111001010000000001110110011000111110101111000011010011001010110100110001	51	Normal	objective
