model	geneID	gene_leng	gen	syn	mis	sum
neut	YP_009725307.1	2796	1	0	1	1
neut	YP_009725307.1	2796	2	0	0	0
neut	YP_009725307.1	2796	3	0	0	0
neut	YP_009725307.1	2796	4	0	0	0
neut	YP_009725307.1	2796	5	0	0	0
neut	YP_009725307.1	2796	6	0	0	0
neut	YP_009725307.1	2796	7	0	1	1
neut	YP_009725307.1	2796	8	0	0	0
neut	YP_009725307.1	2796	9	0	0	0
neut	YP_009725307.1	2796	10	0	1	1
neut	YP_009725307.1	2796	11	1	0	1
neut	YP_009725307.1	2796	12	0	0	0
neut	YP_009725307.1	2796	13	0	0	0
neut	YP_009725307.1	2796	14	0	0	0
neut	YP_009725307.1	2796	15	0	0	0
neut	YP_009725307.1	2796	16	0	0	0
neut	YP_009725307.1	2796	17	1	0	1
neut	YP_009725307.1	2796	18	0	1	1
neut	YP_009725307.1	2796	19	2	1	3
neut	YP_009725307.1	2796	20	1	0	1
neut	YP_009725307.1	2796	21	1	0	1
neut	YP_009725307.1	2796	22	0	0	0
neut	YP_009725307.1	2796	23	0	1	1
neut	YP_009725307.1	2796	24	0	1	1
neut	YP_009725307.1	2796	25	1	1	2
neut	YP_009725307.1	2796	26	1	0	1
neut	YP_009725307.1	2796	27	1	1	2
neut	YP_009725307.1	2796	28	3	0	3
neut	YP_009725307.1	2796	29	0	0	0
neut	YP_009725307.1	2796	30	1	0	1
neut	YP_009725307.1	2796	31	3	1	4
neut	YP_009725307.1	2796	32	2	0	2
neut	YP_009725307.1	2796	33	2	1	3
neut	YP_009725307.1	2796	34	1	0	1
neut	YP_009725307.1	2796	35	3	3	6
neut	YP_009725307.1	2796	36	1	3	4
neut	YP_009725307.1	2796	37	5	2	7
neut	YP_009725307.1	2796	38	3	2	5
neut	YP_009725307.1	2796	39	0	4	4
neut	YP_009725307.1	2796	40	4	3	7
neut	YP_009725307.1	2796	41	2	2	4
neut	YP_009725307.1	2796	42	1	2	3
neut	YP_009725307.1	2796	43	4	2	6
neut	YP_009725307.1	2796	44	5	3	8
neut	YP_009725307.1	2796	45	0	5	5
neut	YP_009725307.1	2796	46	5	7	12
neut	YP_009725307.1	2796	47	3	8	11
neut	YP_009725307.1	2796	48	2	5	7
neut	YP_009725307.1	2796	49	1	7	8
neut	YP_009725307.1	2796	50	4	8	12
neut	YP_009725307.1	2796	51	3	6	9
neut	YP_009725307.1	2796	52	2	4	6
neut	YP_009725307.1	2796	53	4	5	9
neut	YP_009725307.1	2796	54	6	3	9
neut	YP_009725307.1	2796	55	3	6	9
neut	YP_009725307.1	2796	56	7	4	11
neut	YP_009725307.1	2796	57	4	3	7
neut	YP_009725307.1	2796	58	2	3	5
neut	YP_009725307.1	2796	59	4	5	9
neut	YP_009725307.1	2796	60	3	7	10
neut	YP_009725307.1	2796	61	2	7	9
neut	YP_009725307.1	2796	62	2	8	10
neut	YP_009725307.1	2796	63	5	6	11
neut	YP_009725307.1	2796	64	3	6	9
neut	YP_009725307.1	2796	65	2	9	11
neut	YP_009725307.1	2796	66	5	3	8
neut	YP_009725307.1	2796	67	7	5	12
neut	YP_009725307.1	2796	68	4	6	10
neut	YP_009725307.1	2796	69	5	3	8
neut	YP_009725307.1	2796	70	3	8	11
neut	YP_009725307.1	2796	71	4	3	7
neut	YP_009725307.1	2796	72	3	4	7
neut	YP_009725307.1	2796	73	5	5	10
neut	YP_009725307.1	2796	74	7	9	16
neut	YP_009725307.1	2796	75	9	10	19
neut	YP_009725307.1	2796	76	9	8	17
neut	YP_009725307.1	2796	77	8	10	18
neut	YP_009725307.1	2796	78	7	11	18
neut	YP_009725307.1	2796	79	8	8	16
neut	YP_009725307.1	2796	80	10	5	15
neut	YP_009725307.1	2796	81	12	3	15
neut	YP_009725307.1	2796	82	6	9	15
neut	YP_009725307.1	2796	83	7	12	19
neut	YP_009725307.1	2796	84	12	8	20
neut	YP_009725307.1	2796	85	4	9	13
neut	YP_009725307.1	2796	86	6	11	17
neut	YP_009725307.1	2796	87	2	10	12
neut	YP_009725307.1	2796	88	7	9	16
neut	YP_009725307.1	2796	89	7	14	21
neut	YP_009725307.1	2796	90	8	14	22
neut	YP_009725307.1	2796	91	11	9	20
neut	YP_009725307.1	2796	92	6	9	15
neut	YP_009725307.1	2796	93	9	12	21
neut	YP_009725307.1	2796	94	7	17	24
neut	YP_009725307.1	2796	95	7	15	22
neut	YP_009725307.1	2796	96	5	17	22
neut	YP_009725307.1	2796	97	5	18	23
neut	YP_009725307.1	2796	98	4	19	23
neut	YP_009725307.1	2796	99	3	20	23
neut	YP_009725307.1	2796	100	4	22	26
neut	YP_009725307.1	2796	101	6	20	26
neut	YP_009725307.1	2796	102	5	23	28
neut	YP_009725307.1	2796	103	9	24	33
neut	YP_009725307.1	2796	104	11	14	25
neut	YP_009725307.1	2796	105	4	25	29
neut	YP_009725307.1	2796	106	6	16	22
neut	YP_009725307.1	2796	107	6	15	21
neut	YP_009725307.1	2796	108	2	22	24
neut	YP_009725307.1	2796	109	7	18	25
neut	YP_009725307.1	2796	110	8	22	30
neut	YP_009725307.1	2796	111	6	19	25
neut	YP_009725307.1	2796	112	3	28	31
neut	YP_009725307.1	2796	113	9	26	35
neut	YP_009725307.1	2796	114	5	19	24
neut	YP_009725307.1	2796	115	5	26	31
neut	YP_009725307.1	2796	116	7	18	25
neut	YP_009725307.1	2796	117	3	22	25
neut	YP_009725307.1	2796	118	3	19	22
neut	YP_009725307.1	2796	119	7	26	33
neut	YP_009725307.1	2796	120	7	16	23
neut	YP_009725307.1	2796	121	8	13	21
neut	YP_009725307.1	2796	122	6	18	24
neut	YP_009725307.1	2796	123	7	16	23
neut	YP_009725307.1	2796	124	4	13	17
neut	YP_009725307.1	2796	125	5	19	24
neut	YP_009725307.1	2796	126	7	18	25
neut	YP_009725307.1	2796	127	7	15	22
neut	YP_009725307.1	2796	128	4	11	15
neut	YP_009725307.1	2796	129	8	13	21
neut	YP_009725307.1	2796	130	6	12	18
neut	YP_009725307.1	2796	131	10	9	19
neut	YP_009725307.1	2796	132	3	17	20
neut	YP_009725307.1	2796	133	7	14	21
neut	YP_009725307.1	2796	134	4	13	17
neut	YP_009725307.1	2796	135	6	15	21
neut	YP_009725307.1	2796	136	5	15	20
neut	YP_009725307.1	2796	137	9	16	25
neut	YP_009725307.1	2796	138	10	13	23
neut	YP_009725307.1	2796	139	10	9	19
neut	YP_009725307.1	2796	140	1	24	25
neut	YP_009725307.1	2796	141	5	19	24
neut	YP_009725307.1	2796	142	9	16	25
neut	YP_009725307.1	2796	143	6	19	25
neut	YP_009725307.1	2796	144	11	18	29
neut	YP_009725307.1	2796	145	11	19	30
neut	YP_009725307.1	2796	146	7	23	30
neut	YP_009725307.1	2796	147	11	23	34
neut	YP_009725307.1	2796	148	13	19	32
neut	YP_009725307.1	2796	149	12	21	33
neut	YP_009725307.1	2796	150	16	22	38
neut	YP_009725307.1	2796	151	12	23	35
neut	YP_009725307.1	2796	152	16	20	36
neut	YP_009725307.1	2796	153	12	14	26
neut	YP_009725307.1	2796	154	16	17	33
