geo	varID	counts	aaID	locus	conseq	2020-01	2020-02	2020-03	2020-04	2020-05	2020-06	2020-07	2020-08	2020-09	2020-10	2020-11	2020-12	2021-01	2021-02	2021-03	samp_2020-01	samp_2020-02	samp_2020-03	samp_2020-04	samp_2020-05	samp_2020-06	samp_2020-07	samp_2020-08	samp_2020-09	samp_2020-10	samp_2020-11	samp_2020-12	samp_2021-01	samp_2021-02	samp_2021-03
California	T3037	1253	NA	nsp3	synonymous	0.0	5.56	68.0	89.0	98.0	100.0	100.0	100.0	100.0	100.0	100.0	97.0	100.0	100.0	100.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	T28854	387	S194L	N	missense	33.33	0.0	0.0	20.0	26.0	37.0	42.0	58.0	60.0	55.0	42.0	25.0	10.0	8.0	2.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	T20759	41	A34V	nsp16	missense	0.0	0.0	0.0	0.0	0.0	2.0	4.0	16.0	2.0	7.0	4.0	6.0	0.0	0.0	0.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	T14408	1254	P323L	nsp12	missense	0.0	5.56	69.0	89.0	98.0	100.0	100.0	100.0	100.0	100.0	99.0	98.0	100.0	100.0	100.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	G23403	1256	D614G	S	missense	0.0	5.56	69.0	89.0	98.0	100.0	100.0	100.0	100.0	100.0	99.0	100.0	100.0	100.0	100.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	G20268	383	NA	nsp15	synonymous	0.0	0.0	1.0	24.0	28.0	39.0	44.0	60.0	58.0	52.0	39.0	21.0	9.0	6.0	2.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	C24076	125	NA	S	synonymous	0.0	0.0	0.0	7.0	5.0	13.0	15.0	29.0	23.0	14.0	7.0	9.0	1.0	0.0	2.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	T29140	11	Q289H	N	missense	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	T1812	9	A336V	nsp2	missense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	1.0	0.0	0.0	1.0	0.0	0.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	T27964	160	S24L	ORF8	missense	0.0	0.0	6.0	5.0	5.0	3.0	6.0	3.0	11.0	13.0	22.0	29.0	27.0	18.0	12.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	T25563	598	Q57H	ORF3a	missense	0.0	5.56	52.0	46.0	50.0	37.0	24.0	15.0	17.0	29.0	37.0	65.0	81.0	76.0	68.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	T1059	578	T85I	nsp2	missense	0.0	0.0	47.0	43.0	50.0	34.0	20.0	15.0	17.0	29.0	36.0	63.0	80.0	76.0	68.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	T7768	23	NA	nsp3	synonymous	0.0	0.0	0.0	1.0	1.0	8.0	3.0	7.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	T29445	24	T391I	N	missense	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	5.0	11.0	2.0	2.0	1.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	T25844	10	T151I	ORF3a	missense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	1.0	0.0	2.0	2.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	T16887	11	NA	nsp13	synonymous	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	2.0	1.0	0.0	1.0	3.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	T11575	32	NA	nsp6	synonymous	0.0	0.0	0.0	2.0	3.0	9.0	4.0	9.0	1.0	1.0	2.0	0.0	0.0	0.0	1.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	T25528	7	L46F	ORF3a	missense	0.0	0.0	0.0	0.0	0.0	2.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	T12488	7	P133S	nsp8	missense	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	C28883	236	G204R	N	missense	0.0	0.0	13.0	14.0	15.0	23.0	30.0	24.0	22.0	14.0	15.0	11.0	8.0	17.0	30.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	C15669	7	NA	nsp12	synonymous	0.0	0.0	0.0	2.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	A28882	236	NA	N	synonymous	0.0	0.0	13.0	14.0	15.0	23.0	29.0	24.0	22.0	15.0	15.0	11.0	8.0	17.0	30.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	A28881	237	R203K	N	missense	0.0	0.0	13.0	14.0	15.0	23.0	29.0	25.0	22.0	15.0	14.0	11.0	9.0	17.0	30.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	T29362	169	NA	N	synonymous	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	12.0	16.0	32.0	55.0	53.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	T28887	224	T205I	N	missense	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	3.0	11.0	16.0	27.0	50.0	58.0	56.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	T28272	200	NA	IGS	noncoding	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	12.0	24.0	49.0	57.0	56.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	T27890	132	NA	IGS	noncoding	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	8.0	18.0	29.0	41.0	34.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	T26681	202	NA	M	synonymous	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	12.0	25.0	49.0	57.0	55.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	T24374	7	L938F	S	missense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	2.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	T2395	133	NA	nsp2	synonymous	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	8.0	18.0	29.0	42.0	34.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	T22018	195	W152C	S	missense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	12.0	24.0	48.0	55.0	54.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	T21600	199	S13I	S	missense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	13.0	24.0	50.0	55.0	55.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	T17014	205	D260Y	nsp13	missense	0.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	2.0	13.0	24.0	49.0	56.0	55.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	G22917	198	L452R	S	missense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	12.0	24.0	48.0	57.0	55.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
California	G12878	134	I65V	nsp9	missense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	8.0	18.0	29.0	42.0	34.0	6	18	100	100	100	100	100	100	100	100	100	100	100	100	100
